h_team,a_team,time,h_score,a_score,cancelled,h_shots,h_shots_on_target,h_possession,h_tackles,h_fouls,h_corners,h_shot_acc,h_pass_acc,a_shots,a_shots_on_target,a_possession,a_tackles,a_fouls,a_corners,a_shot_acc,a_pass_acc,filename,h_penalty_score,a_penalty_score
Raquo FC,Tjappies FC,120:00,-1,3,False,8,7,46,10,1,1,87,93,8,4,54,16,1,0,50,93,WL183.jpg,0.0,0.0
Armani Ur Nanny,Tjappies FC,90:00,3,7,False,8,7,40,10,2,2,87,79,11,11,60,13,0,0,100,87,WL168.jpg,,
LP FC,Tjappies FC,120:00,-1,2,False,5,3,45,18,1,0,60,87,7,4,55,12,1,1,57,91,WL154.jpg,0.0,0.0
FCT x BVB,Keating Xl,90:00,3,5,False,4,4,37,12,1,0,100,86,8,7,63,9,0,2,87,90,29-10-2020_15-27-22-tsonf5f1.png,,
Tjappies FC,TipicoSportB3T,36.27,-1,-1,True,4,3,57,3,0,0,75,91,1,1,43,3,0,0,100,83,WL140.jpg,,
Tjappies FC,FC Duchesne,28:15,-1,5,False,5,4,60,4,0,3,80,88,0,0,40,5,1,0,0,86,WL69.jpg,,
Tjappies FC,Berlin Fortuna,72.53,-1,-1,True,5,4,50,3,0,1,80,88,1,1,50,8,0,0,100,85,WL-26.jpg,,
Tjappies FC,MaxO108,23:56,-1,-1,True,4,4,58,2,0,0,100,92,0,0,42,2,1,0,0,85,WL-32.jpg,,
HowlMetYourMata,Tjappies FC,90:00,2,3,False,3,3,41,14,0,0,100,83,10,7,59,11,2,2,70,90,WL55.jpg,,
Tjappies FC,THOMAS,54.59,5,-1,False,8,5,62,9,1,2,62,92,0,0,38,13,1,0,0,80,WL41.jpg,,
SaintLaFlame,Tjappies FC,90:00,3,0,False,6,4,50,10,1,0,66,92,10,6,50,14,0,1,60,90,WL96.jpg,,
DrinkPila FC,Tjappies FC,33.29,-1,-1,True,2,1,39,3,0,1,50,90,2,2,61,3,0,0,100,93,FIFA 21 FUT Champions (In Menus)_75.jpg,,
Bunter FC,Tjappies FC,12.06,-1,-1,True,0,0,34,2,0,0,0,81,3,2,66,2,0,0,66,96,WL1.jpg,,
Tjappies FC,delguez fc,28.24,-1,-1,True,7,6,62,3,0,2,85,92,0,0,38,3,0,0,0,88,FIFA 21 FUT Champions (In Menus)_61.jpg,,
As Oreta,Tjappies FC,90:00,2,1,False,3,2,52,10,1,0,66,91,6,4,48,10,1,3,66,90,WL356.jpg,,
PIQUE BOO,Tjappies FC,90:00,2,4,False,11,8,48,13,3,3,72,85,4,4,52,8,3,0,100,85,FIFA 21 FUT Champions (In Menus)_49.jpg,,
BEDRIJVIGHEID,Tjappies FC,90:00,1,4,False,7,4,49,12,0,3,57,85,6,5,51,11,1,1,83,87,WL342.jpg,,
BurgiBallonDOr,Tjappies FC,90:00,0,6,False,1,1,33,12,0,2,100,84,9,8,67,17,2,1,88,91,WL82.jpg,,
FC Palermo,Tjappies FC,62.36,-1,-1,True,2,2,50,1,0,0,100,89,5,5,50,6,0,2,100,90,WL83.jpg,,
justLfln,Tjappies FC,90:00,2,4,False,3,2,47,15,0,0,66,90,9,5,53,18,0,2,55,95,WL343.jpg,,
Tjappies FC,FCPORTO,18.25,-1,-1,True,3,2,63,7,0,0,66,81,0,0,37,1,-1,0,0,76,WL97.jpg,,
FCT x BVB,The Rebel Xl,90:00,2,4,False,9,6,44,5,2,1,66,86,11,10,56,7,0,3,90,80,22-10-2020_13-54-47-x0nprnck.png,,
Tjappies FC,Sacrificio,120:00,4,3,False,6,5,56,15,1,1,83,91,9,7,44,18,1,3,77,90,WL40.jpg,,
Tjappies FC,Tergnier fc,90:00,3,1,False,9,5,53,16,2,0,55,91,2,1,47,10,1,1,50,88,WL54.jpg,,
FC Niepokonani,Tjappies FC,45.00,-1,-1,True,1,1,41,10,0,0,100,79,5,5,59,9,1,0,100,90,WL-33.jpg,,
Tjappies FC,Casemiro FC,90:00,4,1,False,9,5,56,8,1,1,55,94,2,1,44,8,4,0,50,90,WL-27.jpg,,
Duimpie United,Tjappies FC,90:00,1,10,False,4,2,46,13,4,0,50,80,19,16,54,13,1,2,84,91,WL68.jpg,,
Db,Tjappies FC,74:10,-1,-1,True,3,1,40,9,0,1,33,90,5,4,60,14,1,0,80,89,WL141.jpg,,
WELDON GSTQ,FCT x BVB,31.47,-1,-1,True,1,1,49,3,0,0,100,91,4,4,51,3,0,0,100,92,22-10-2020_13-54-42-sgtfmcuo.png,,
Tjappies FC,FC IcedOut 44,20.53,3,-1,False,3,3,69,5,0,0,100,90,0,0,31,2,0,0,0,95,WL155.jpg,,
Class on Grass,Tjappies FC,90:00,1,5,False,4,2,39,3,0,1,50,89,9,7,61,10,4,1,77,88,FIFA 21 FUT Champions (In Menus)_109.jpg,,
CASTELLANE FC,Tjappies FC,84.50,-1,1,False,3,3,43,15,0,2,100,86,8,5,57,8,0,4,62,92,WL169.jpg,,
FCT x BVB,Tettenham,90:00,4,6,False,7,6,46,8,0,0,85,88,10,8,54,20,0,0,80,84,22-10-2020_13-54-42-ewmckuih.png,,
Tjappies FC,ADICEKjeFRAJER,26.06,-1,-1,True,3,3,56,1,1,0,100,91,0,0,44,7,0,0,0,81,WL182.jpg,,
Nantes US,Tjappies FC,8.50,-1,-1,True,0,0,51,0,0,0,0,88,3,2,49,1,0,0,66,100,WL-2.jpg,,
